req_no	thread_id	answer_title	answer_author	work_id	work_title	work_author	readinglog_count	first_publish_year
75	17027472	The Little Book of Pandemics		https://openlibrary.org/works/OL6070400W	The little book of pandemics	Pete Moore	3	2007.0
76	17058520	Anthem: An American Road Story	Shainee Gabel and Kristin Hahn	https://openlibrary.org/works/OL18150959W	Anthem : an American road story	Shainee Gabel; Kristin Hahn	1	1998.0
77	17289916	Everything But Money	Sam Levenson	https://openlibrary.org/works/OL10622742W	Everything but money	Sam Levenson	0	1949.0
78	17363325	Mutant Message Down Under	Marlo Morgan	https://openlibrary.org/works/OL19358810W	Mutant Message: Down Under	Marlo Morgan	2	1994.0
79	17459464	Running with Scissors	Augusten Burroughs	https://openlibrary.org/works/OL5728455W	Running with Scissors	Augusten Burroughs	119	2002.0
80	17459517	150 Years of Popular Musical Theatre	Andrew Lamb	https://openlibrary.org/works/OL3168840W	150 years of popular musical theatre	Andrew Lamb	2	2000.0
81	17506055	Slim and Scrumptious: More Than 75 Delicious, Healthy Meals Your Family Will Love	Joy Bauer	https://openlibrary.org/works/OL16011604W	Slim & scrumptious	Joy Bauer	0	2009.0
82	17506732	Never Give Up!: How Tragedy Taught Me That Life Is an Attitude	Ron Heagy original title: Life is an Attitude: A Tragedy Turns to Triumph	https://openlibrary.org/works/OL23744552W	Never give up	Ron Heagy; Donita Dyer	0	2002.0
83	17515239	Astrology and Foretelling the Future	Thomas G. Aylesworth	https://openlibrary.org/works/OL2993407W	Astrology and foretelling the future	Thomas G. Aylesworth	4	1973.0
84	17594927	Diplomatic Baggage: The Adventures of a Trailing Spouse	Brigid Keenan	https://openlibrary.org/works/OL4420168W	Van Trinidad tot Kazachstan	Brigid Keenan	1	2005.0
85	17600862	Barbie & the Scavenger Hunt	Mary Packard	https://openlibrary.org/works/OL15125896W	Barbie & the Scavenger Hunt	Mary Packard	1	1999.0
86	17605183	Uncoupling: Turning Points in Intimate Relationships	Diane Vaughan	https://openlibrary.org/works/OL2962393W	Uncoupling	Diane Vaughan	40	1986.0
87	17665439	Artists on Art: From the 14th to the 20th Century		https://openlibrary.org/works/OL5262803W	Artists on art	Goldwater, Robert John	0	1947.0
88	17838267	A Woman's Journey on the Appalachian Trail	Cindy Ross aka A Woman's Journey	https://openlibrary.org/works/OL19053421W	A woman's journey on the Appalachian Trail	Cindy Ross	1	1982.0
89	17862206	Journal of a Solitude	May Sarton	https://openlibrary.org/works/OL21803944W	Journal of a Solitude	May Sarton	75	1973.0
90	17896014	Gom on Windy Mountain	Grace Chetwin	https://openlibrary.org/works/OL3927256W	Gom on Windy Mountain	Grace Chetwin	3	1986.0
91	17955377	Thanks, But This Isn't for Us: A (Sort of) Compassionate Guide to Why Your Writing is Being Rejected	Jessica Page Morrell aka Thanks, But This Isn't for Us: The Compassionate Guide to Understanding What's Wrong with Your Writing and Leaving the Rejection Pile for Good	https://openlibrary.org/works/OL18652810W	Thanks, but this isn't for us	Jessica Page Morrell	0	2009.0
92	17958480	On Paradise Drive: How We Live Now (and Always Have) in the Future Tense	David Brooks	https://openlibrary.org/works/OL2649265W	On Paradise Drive	David Brooks	3	2004.0
93	17968458	Japan: The Story of a Nation	Edwin O. Reischauer	https://openlibrary.org/works/OL3503281W	Japan	Edwin O. Reischauer	26	1964.0
94	17970984	The Queen of Whale Cay: The Eccentric Story of 'Joe' Carstairs, Fastest Woman on Water	Kate Summerscale	https://openlibrary.org/works/OL20382504W	The Queen of Whale Cay	Kate Summerscale	1	1997.0
95	17975612	Outliers: The Story of Success		https://openlibrary.org/works/OL27775209W	Outliers	Malcolm Gladwell	22	2008.0
96	17976239	Norton Anthology of Poetry: Third Edition	Allison Alexander				0	
97	17976447	But Daddy!		https://openlibrary.org/works/OL5616084W	But Daddy!	Tom Buck	1	1967.0
98	17991888	Change Me into Zeus's Daughter: A Memoir	Barbara Robinette Moss	https://openlibrary.org/works/OL221470W	Change me into Zeus's daughter	Barbara Robinette Moss	4	2000.0
99	17994044	Good Neighbors	Diane Redfield Massie	https://openlibrary.org/works/OL463449W	Good neighbors	Diane Redfield Massie	2	1972.0
100	17996724	Trek		https://openlibrary.org/works/OL17448W	King Solomon's Mines	H. Rider Haggard	230	1880.0
101	17999937	How to Draw a Radish: And Other Fun Things to Do at Work	Joy Sikorski	https://openlibrary.org/works/OL2737926W	How to draw a radish	Joy Sikorski	5	1995.0
102	18010678	There's a (Slight) Chance I Might Be Going to Hell: A Novel of Sewer Pipes, Pageant Queens, and Big Trouble	Laurie Notaro	https://openlibrary.org/works/OL5853609W	There's a (Slight) Chance I Might Be Going to Hell	Laurie Notaro	10	2007.0
103	18012692	The Triumph of the Therapeutic	Philip Rieff	https://openlibrary.org/works/OL4791934W	The triumph of the therapeutic	Philip Rieff	20	1966.0
104	18029180	Without Reservations	Alice Steinbach aka Without Reservations: The Travels of an Independent Woman	https://openlibrary.org/works/OL460093W	Without reservations	Alice Steinbach	9	2000.0
105	18088451	The Perfect Match	Marian Woodruff	https://openlibrary.org/works/OL8367106W	The Perfect Match	Marian Woodruff	2	1983.0
106	18089853	Hammond's Nature Atlas of America	E. L. Jordan	https://openlibrary.org/works/OL38898211W	Hammonds Nature Atlas Of America	Jordan.	0	1957.0
107	18103696	The Song of the Ape: Understanding the Languages of Chimpanzees	Andrew R. Halloran	https://openlibrary.org/works/OL16263075W	The song of the ape	Andrew R. Halloran	0	2012.0
108	18104966	Dreaming in Chinese		https://openlibrary.org/works/OL77764W	Anne's House of Dreams	Lucy Maud Montgomery	132	1917.0
109	18110198	Discovering Arguments: An Introduction to Critical Thinking and Writing	William Palmer	https://openlibrary.org/works/OL4642906W	Discovering Arguments	Dean Memering; William Palmer	1	2001.0
110	18110757	We Shook the Family Tree	Hildegarde Dolson	https://openlibrary.org/works/OL6800422W	We shook the family tree	Hildegarde Dolson	0	1946.0
111	18121692	In My Place	Charlayne Hunter-Gault	https://openlibrary.org/works/OL3913177W	In my place	Charlayne Hunter-Gault	1	1992.0
112	18132566	Here and Hereafter		https://openlibrary.org/works/OL10611766W	Here-and hereafter	Maude Royden	0	1933.0
113	18162212	Shut Up and Eat Your Snowshoes	Jack Douglas	https://openlibrary.org/works/OL6695450W	Shut up and eat your snowshoes	Jack Douglas	5	1970.0
114	18170162	Letters My Mother Never Read	Jerri Diane Sueck	https://openlibrary.org/works/OL9782496W	Letters My Mother Never Read	Jerri Diane Sueck	5	2004.0
115	18189449	Bad Jobs: My Last Shift at Albert Wong's Pagoda and Other Ugly Tales of the Workplace		https://openlibrary.org/works/OL8535677W	Bad Jobs	Carellin Brooks	0	1998.0
116	18203075	Zalmoxis, the Vanishing God: Comparative Studies in the Religion and Folklore of Dacia and Eastern Europe	Mircéa Eliade	https://openlibrary.org/works/OL748402W	De Zalmoxis a Gengis-Khan	Mircea Eliade	2	1970.0
117	18213663	The Color of Water: A Black Man's Tribute to His White Mother	James McBride	https://openlibrary.org/works/OL2956952W	The color of water	James McBride	197	1995.0
118	18215159	The Teen's Guide to World Domination: Advice on Life, Liberty, and the Pursuit of Awesomeness	Josh Shipp	https://openlibrary.org/works/OL15488768W	The teen's guide to world domination	Josh Shipp	1	2010.0
119	18216834	A Matter of Degree	Lucy Kavaler aka A Matter of Degree: Heat, Life, and Death	https://openlibrary.org/works/OL3508062W	A matter of degree	Lucy Kavaler	0	1981.0
120	18221035	Fighting Fire	Caroline Paul	https://openlibrary.org/works/OL1837858W	Fighting fire	Caroline Paul	1	1998.0
121	18223359	Taking a Stand Against Human Rights Abuses	Michael Kronenwetter	https://openlibrary.org/works/OL2690603W	Taking a stand against human rights abuses	Michael Kronenwetter	0	1990.0
122	18232098	The diary of Opal Whiteley	Opal Whiteley	https://openlibrary.org/works/OL8302080W	The Diary of Opal Whiteley	Opal Whiteley	0	1997.0
123	18266366	Victim: The Other Side of Murder	Gary Kinder	https://openlibrary.org/works/OL1962653W	Victim	Gary Kinder	3	1983.0
124	18273251	A Map of Nowhere	Gillian Cross	https://openlibrary.org/works/OL2009725W	A Map of Nowhere (Contents)	Gillian Cross	0	1988.0
125	18283057	Why Me?	Sarah Burleton	https://openlibrary.org/works/OL26435880W	Why me?		0	2006.0
126	18285894	Trial of a Monster	C. Tom	https://openlibrary.org/works/OL35272902W	Trial of a Monster	c Tom	0	2013.0
127	18288757	Seven: The Number for Happiness, Love, and Success	Jacqueline Leo	https://openlibrary.org/works/OL24732620W	Seven	Jacqueline Leo; Pam Ward	0	2009.0
128	18300411	Golden & Grey: An Unremarkable Boy and a Rather Remarkable Ghost 		https://openlibrary.org/works/OL32260159W	Golden & Grey		0	
129	18311590	Movin on Out	David McIntyre not found on LibraryThing				0	
130	18322680	Classic Movie Monsters		https://openlibrary.org/works/OL545166W	Classic Movie Monsters	Donald F. Glut	0	1978.0
131	18355106	Microbe hunters, then and now		https://openlibrary.org/works/OL16326631W	Memorial of Samuel Eells	Hilary Koprowski; Michael B. A. Oldstone	0	1996.0
132	18382702	An Owl On Every Post	Sanora Babb, William Kennedy (Foreword)	https://openlibrary.org/works/OL2623483W	An owl on every post	Sanora Babb	2	1970.0
133	18390982	Whispers at Midnight		https://openlibrary.org/works/OL167253W	Whispers at midnight	Karen Robards	9	2002.0
134	18398206	Deadly Intentions	William Randolph Stevens	https://openlibrary.org/works/OL5900632W	Deadly Intentions	William Randolph Stevens	4	1982.0
135	18401246	Love Is a Story: A New Theory of Relationships	Robert J. Sternberg	https://openlibrary.org/works/OL17671112W	Love is a story	Robert J. Sternberg	3	1998.0
136	18405410	The Night Watch		https://openlibrary.org/works/OL5961566W	Keeping the night watch	Hope Anita Smith	23	2008.0
138	18419825	Let Me Tell You a Story: A Memoir of a Wartime Childhood	Renata Calverley	https://openlibrary.org/works/OL17846420W	Let me tell you a story	Renata Calverley	2	2013.0
139	18427988	Transcendent: Figurative Art by Jia Lu		https://openlibrary.org/works/OL25111968W	Transcendent	Jia Lu	0	2009.0
140	18429645	King of the Hill: A Memoir	A. E. Hotchner	https://openlibrary.org/works/OL3262035W	King of the Hill	A. E. Hotchner	4	1972.0
141	18440782	The Baby Thief: The Untold Story of Georgia Tann, the Baby Seller Who Corrupted Adoption	Barbara Bisantz Raymond	https://openlibrary.org/works/OL8570852W	The Baby Thief	Barbara Bisantz Raymond	14	2007.0
142	18451313	Juicy Writing: Inspiration and Techniques for Young Writers	Brigid Lowry	https://openlibrary.org/works/OL17875538W	Juicy writing	Brigid Lowry	7	2008.0
143	18451355	My DIY: The Stylin' Girl's Guide to DIY Projects--From Sassy Crafts to Thrifty Gifts		https://openlibrary.org/works/OL8450895W	My DIY	Kimberly Potts	0	2005.0
144	18503135	Neighbors		https://openlibrary.org/works/OL1622789W	Noli Me Tangere	José Rizal	320	1902.0
145	18504140	Akenfield: Portrait of an English Village	Ronald Blythe	https://openlibrary.org/works/OL1723560W	Akenfield	Ronald Blythe	12	1969.0
146	18522780	The Story of Franklin D. Roosevelt	Marcus Rosenblum	https://openlibrary.org/works/OL7426123W	The story of Franklin D. Roosevelt	Marcus Rosenblum	0	1949.0
147	18535452	How to Cook a Wolf		https://openlibrary.org/works/OL452990W	How to cook a wolf	M. F. K. Fisher	29	1942.0
148	18536813	No More Secrets for Me		https://openlibrary.org/works/OL8282889W	No More Secrets For Me		0	1987.0
149	18536821	W.I.T.C.H.: The Graphic Novel, Part I. The Twelve Portals, Vol. 1	Elisabetta Gnone	https://openlibrary.org/works/OL19343986W	W.I.T.C.H.	Elisabetta Gnone; Alessandro Barbucci; Barbara Canepa	4	2017.0
150	18536854	Slackjaw	Jim Knipfel	https://openlibrary.org/works/OL15845169W	Slackjaw	Jim Knipfel	0	1999.0
151	18537946	Crusade in Jeans	Thea Beckman	https://openlibrary.org/works/OL20416451W	Crusade in Jeans	Thea Beckman	1	2011.0
152	18545461	Wren	Marie Killilea	https://openlibrary.org/works/OL16757270W	Jenny Wren		0	1818.0
153	18548831	The Tribe of Tiger: Cats and Their Culture	Elizabeth Marshall Thomas	https://openlibrary.org/works/OL3295010W	The tribe of tiger	Elizabeth Marshall Thomas	5	1994.0
154	18555084	Mantras & Misdemeanours: An Accidental Love Story	Vanessa Walker	https://openlibrary.org/works/OL9006182W	Mantras & misdemeanours	Vanessa Walker	0	2006.0
155	18556554	For the Thrill of It: Leopold, Loeb, and the Murder That Shocked		https://openlibrary.org/works/OL4443947W	For the Thrill of It	Simon Baatz	8	2008.0
156	18557516	The Suspicions of Mr. Whicher: A Shocking Murder and the Undoing of a Great Victorian Detective	Kate Summerscale	https://openlibrary.org/works/OL18180087W	The suspicions of Mr. Whicher	Kate Summerscale	6	2009.0
157	18563623	The Last Laugh: The World of Stand-Up Comics	Phil Berger	https://openlibrary.org/works/OL1885465W	The last laugh	Phil Berger	4	1975.0
